Coord	                 ProbeID	Chrom	Start       	End	       miRNA	  Num_Cancers	Cancers	                                                                            Concordance
chr8_129983744_129983745	cg09642740	chr8	129983744	129983745	hsa-mir-5194	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr6_1384545_1384546	cg09651522	chr6	1384545	1384546	hsa-mir-6720	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr17_48719929_48719930	cg09659227	chr17	48719929	48719930	hsa-mir-3185	9	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr17_67529119_67529120	cg09671650	chr17	67529119	67529120	hsa-mir-548aa-2;hsa-mir-548d-2	6	TCGA-BRCA;TCGA-ESCA;TCGA-KIRC;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr15_89371235_89371236	cg09683350	chr15	89371235	89371236	hsa-mir-9-3	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr5_72108366_72108367	cg09734380	chr5	72108366	72108367	hsa-mir-4803	4	TCGA-BRCA;TCGA-COAD;TCGA-LIHC;TCGA-PRAD	All_Hypermethylated
chr6_32761721_32761722	cg09739413	chr6	32761721	32761722	hsa-mir-3135b	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr2_127423737_127423738	cg09747827	chr2	127423737	127423738	hsa-mir-4783	4	TCGA-BRCA;TCGA-KIRC;TCGA-KIRP;TCGA-PRAD	All_Hypermethylated
chr11_43575370_43575371	cg09753043	chr11	43575370	43575371	hsa-mir-129-2	4	TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LUAD	All_Hypermethylated
chr1_156421518_156421519	cg09793584	chr1	156421518	156421519	hsa-mir-9-1	4	TCGA-BRCA;TCGA-CHOL;TCGA-LIHC;TCGA-PAAD	All_Hypermethylated
chr19_53686299_53686300	cg09796029	chr19	53686299	53686300	hsa-mir-1283-1;hsa-mir-1323;hsa-mir-498;hsa-mir-512-1;hsa-mir-512-2;hsa-mir-515-1;hsa-mir-515-2;hsa-mir-519c;hsa-mir-519e;hsa-mir-520a;hsa-mir-520e;hsa-mir-520f;hsa-mir-519b;hsa-mir-526b	8	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr6_1382829_1382830	cg09806318	chr6	1382829	1382830	hsa-mir-6720	8	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD	All_Hypermethylated
chr13_52846251_52846252	cg09813525	chr13	52846251	52846252	hsa-mir-759	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr15_51267780_51267781	cg09819222	chr15	51267780	51267781	hsa-mir-4713;hsa-mir-7973-1;hsa-mir-7973-2	2	TCGA-BRCA;TCGA-HNSC	All_Hypermethylated
chr17_48722393_48722394	cg09866983	chr17	48722393	48722394	hsa-mir-3185	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr5_88678647_88678648	cg09884341	chr5	88678647	88678648	hsa-mir-9-2	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_156420332_156420333	cg09938227	chr1	156420332	156420333	hsa-mir-9-1	8	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr15_89379097_89379098	cg09969277	chr15	89379097	89379098	hsa-mir-9-3	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr12_52905038_52905039	cg09972881	chr12	52905038	52905039	hsa-mir-9898	4	TCGA-BLCA;TCGA-BRCA;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr8_9906048_9906049	cg10008501	chr8	9906048	9906049	hsa-mir-124-1	6	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_3112346_3112347	cg10021614	chr1	3112346	3112347	hsa-mir-4251	4	TCGA-BRCA;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr17_8151511_8151512	cg10028884	chr17	8151511	8151512	hsa-mir-6883	5	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr14_101023726_101023727	cg10036091	chr14	101023726	101023727	hsa-mir-1197;hsa-mir-299;hsa-mir-323a;hsa-mir-329-1;hsa-mir-329-2;hsa-mir-379;hsa-mir-380;hsa-mir-411;hsa-mir-758	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr7_18087371_18087372	cg10068437	chr7	18087371	18087372	hsa-mir-1302-6	5	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr14_21022886_21022887	cg10078898	chr14	21022886	21022887	hsa-mir-6717	6	TCGA-BRCA;TCGA-CHOL;TCGA-KIRP;TCGA-LIHC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr14_101023808_101023809	cg10082525	chr14	101023808	101023809	hsa-mir-1197;hsa-mir-299;hsa-mir-323a;hsa-mir-329-1;hsa-mir-329-2;hsa-mir-379;hsa-mir-380;hsa-mir-411;hsa-mir-758	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr1_205422668_205422669	cg10092691	chr1	205422668	205422669	hsa-mir-135b	2	TCGA-BRCA;TCGA-LIHC	All_Hypomethylated
chr18_26550887_26550888	cg10096645	chr18	26550887	26550888	hsa-mir-8057	8	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr1_3117672_3117673	cg10097755	chr1	3117672	3117673	hsa-mir-4251	7	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr16_56318239_56318240	cg10139742	chr16	56318239	56318240	hsa-mir-3935	2	TCGA-BRCA;TCGA-ESCA	All_Hypermethylated
chr12_54260306_54260307	cg10151085	chr12	54260306	54260307	hsa-mir-3198-2	6	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD	All_Hypermethylated
chr15_89371377_89371378	cg10157251	chr15	89371377	89371378	hsa-mir-9-3	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr6_34238375_34238376	cg10167849	chr6	34238375	34238376	hsa-mir-6835	7	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr5_135579398_135579399	cg10179196	chr5	135579398	135579399	hsa-mir-5692c-1	4	TCGA-BRCA;TCGA-COAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr8_127798462_127798463	cg10202727	chr8	127798462	127798463	hsa-mir-1205;hsa-mir-1206;hsa-mir-1207;hsa-mir-1204	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ	All_Hypomethylated
chr1_148328965_148328966	cg10207181	chr1	148328965	148328966	hsa-mir-5087	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_158586440_158586441	cg10218605	chr7	158586440	158586441	hsa-mir-595	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr3_79767688_79767689	cg10243398	chr3	79767688	79767689	hsa-mir-3923	6	TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LUAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr19_40365790_40365791	cg10274022	chr19	40365790	40365791	hsa-mir-6796	8	TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_136890613_136890614	cg10276834	chr7	136890613	136890614	hsa-mir-490	8	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-UCEC	All_Hypomethylated
chr7_73703915_73703916	cg10286163	chr7	73703915	73703916	hsa-mir-4284	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr17_44212660_44212661	cg10308265	chr17	44212660	44212661	hsa-mir-6782	4	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-UCEC	All_Hypermethylated
chr7_157574458_157574459	cg10310310	chr7	157574458	157574459	hsa-mir-153-2	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr15_51110558_51110559	cg10313109	chr15	51110558	51110559	hsa-mir-4713;hsa-mir-7973-1	5	TCGA-BLCA;TCGA-BRCA;TCGA-KIRC;TCGA-LIHC;TCGA-PRAD	All_Hypomethylated
chr19_53665596_53665597	cg10360420	chr19	53665596	53665597	hsa-mir-1283-1;hsa-mir-1323;hsa-mir-498;hsa-mir-512-1;hsa-mir-512-2;hsa-mir-515-1;hsa-mir-515-2;hsa-mir-519c;hsa-mir-519e;hsa-mir-520a;hsa-mir-520e;hsa-mir-520f;hsa-mir-519b;hsa-mir-526b	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48037306_48037307	cg10382221	chr17	48037306	48037307	hsa-mir-10226;hsa-mir-152	3	TCGA-BRCA;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr1_3289752_3289753	cg10391102	chr1	3289752	3289753	hsa-mir-4251	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr15_79179244_79179245	cg10438282	chr15	79179244	79179245	hsa-mir-184	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr3_159186928_159186929	cg10461878	chr3	159186928	159186929	hsa-mir-3919	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_157552552_157552553	cg10471944	chr7	157552552	157552553	hsa-mir-153-2	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr7_157609837_157609838	cg10502354	chr7	157609837	157609838	hsa-mir-153-2	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr1_3397879_3397880	cg10519004	chr1	3397879	3397880	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr1_3099729_3099730	cg10520026	chr1	3099729	3099730	hsa-mir-4251	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr16_85902605_85902606	cg10526478	chr16	85902605	85902606	hsa-mir-6774	2	TCGA-BRCA;TCGA-LUSC	All_Hypomethylated
chr1_112882641_112882642	cg10541466	chr1	112882641	112882642	hsa-mir-11399	5	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-PRAD	All_Hypermethylated
chr8_9905649_9905650	cg10543574	chr8	9905649	9905650	hsa-mir-124-1	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_158586656_158586657	cg10554264	chr7	158586656	158586657	hsa-mir-595	8	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-UCEC	All_Hypermethylated
chr5_179801859_179801860	cg10561067	chr5	179801859	179801860	hsa-mir-1229	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr8_142168626_142168627	cg10567579	chr8	142168626	142168627	hsa-mir-4472-1	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3083022_3083023	cg10572807	chr1	3083022	3083023	hsa-mir-4251	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr2_179857883_179857884	cg10671757	chr2	179857883	179857884	hsa-mir-1258	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr12_112809049_112809050	cg10674221	chr12	112809049	112809050	hsa-mir-1302-1	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr1_3187478_3187479	cg10696969	chr1	3187478	3187479	hsa-mir-4251	6	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr20_26209718_26209719	cg10715092	chr20	26209718	26209719	hsa-mir-663a	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr14_100882947_100882948	cg10726559	chr14	100882947	100882948	hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr19_53689759_53689760	cg10753636	chr19	53689759	53689760	hsa-mir-1283-1;hsa-mir-1323;hsa-mir-498;hsa-mir-512-1;hsa-mir-512-2;hsa-mir-515-1;hsa-mir-515-2;hsa-mir-519c;hsa-mir-519e;hsa-mir-520a;hsa-mir-520e;hsa-mir-520f;hsa-mir-519b;hsa-mir-526b	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr7_93671266_93671267	cg10763891	chr7	93671266	93671267	hsa-mir-4652	6	TCGA-BRCA;TCGA-COAD;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD	All_Hypomethylated
chr1_3080978_3080979	cg10770533	chr1	3080978	3080979	hsa-mir-4251	4	TCGA-BRCA;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr2_218993205_218993206	cg10775273	chr2	218993205	218993206	hsa-mir-375	3	TCGA-BRCA;TCGA-ESCA;TCGA-LUSC	All_Hypermethylated
chr11_45681495_45681496	cg10776232	chr11	45681495	45681496	hsa-mir-7154	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ	All_Hypomethylated
chr8_41660533_41660534	cg10794439	chr8	41660533	41660534	hsa-mir-486-1;hsa-mir-486-2	5	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-LIHC;TCGA-LUSC	All_Hypomethylated
chr1_241008456_241008457	cg10797944	chr1	241008456	241008457	hsa-mir-3123	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr19_13874699_13874700	cg10822545	chr19	13874699	13874700	hsa-mir-181c;hsa-mir-181d	3	TCGA-BRCA;TCGA-LIHC;TCGA-LUSC	All_Hypomethylated
chr12_52904243_52904244	cg10843343	chr12	52904243	52904244	hsa-mir-9898	6	TCGA-BLCA;TCGA-BRCA;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr14_105855121_105855122	cg10845171	chr14	105855121	105855122	hsa-mir-4507;hsa-mir-4537;hsa-mir-4538;hsa-mir-4539	8	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr8_9903359_9903360	cg10866298	chr8	9903359	9903360	hsa-mir-124-1	10	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ	All_Hypermethylated
chr7_157581238_157581239	cg10898184	chr7	157581238	157581239	hsa-mir-153-2	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr5_133424008_133424009	cg10914727	chr5	133424008	133424009	hsa-mir-1289-2	2	TCGA-BRCA;TCGA-PRAD	All_Hypomethylated
chr1_3246358_3246359	cg10952596	chr1	3246358	3246359	hsa-mir-4251	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_101023703_101023704	cg10969550	chr14	101023703	101023704	hsa-mir-1197;hsa-mir-299;hsa-mir-323a;hsa-mir-329-1;hsa-mir-329-2;hsa-mir-379;hsa-mir-380;hsa-mir-411;hsa-mir-758	4	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-LUSC	All_Hypomethylated
chr1_165890477_165890478	cg10972897	chr1	165890477	165890478	hsa-mir-3658	5	TCGA-BRCA;TCGA-ESCA;TCGA-KIRC;TCGA-KIRP;TCGA-PRAD	All_Hypermethylated
chr6_33207400_33207401	cg11011640	chr6	33207400	33207401	hsa-mir-219a-1	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr4_165379924_165379925	cg11043571	chr4	165379924	165379925	hsa-mir-578	5	TCGA-BRCA;TCGA-ESCA;TCGA-KIRP;TCGA-LUAD;TCGA-UCEC	All_Hypermethylated
chr7_1912964_1912965	cg11050988	chr7	1912964	1912965	hsa-mir-4655	5	TCGA-BLCA;TCGA-BRCA;TCGA-KIRP;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr11_43580419_43580420	cg11074814	chr11	43580419	43580420	hsa-mir-129-2	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_207818375_207818376	cg11109027	chr1	207818375	207818376	hsa-mir-29b-2;hsa-mir-29c	4	TCGA-BLCA;TCGA-BRCA;TCGA-LUSC;TCGA-PRAD	All_Hypomethylated
chr6_27139977_27139978	cg11179081	chr6	27139977	27139978	hsa-mir-3143	5	TCGA-BRCA;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr7_158570215_158570216	cg11202265	chr7	158570215	158570216	hsa-mir-595	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr20_26209029_26209030	cg11220245	chr20	26209029	26209030	hsa-mir-663a	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_3194251_3194252	cg11222503	chr1	3194251	3194252	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr22_22559254_22559255	cg11225751	chr22	22559254	22559255	hsa-mir-5571;hsa-mir-650	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_7017656_7017657	cg11235787	chr17	7017656	7017657	hsa-mir-195;hsa-mir-497	4	TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC	All_Hypermethylated
chr1_3290938_3290939	cg11250802	chr1	3290938	3290939	hsa-mir-4251	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr5_154691598_154691599	cg11262850	chr5	154691598	154691599	hsa-mir-1303	6	TCGA-BRCA;TCGA-COAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr17_48734165_48734166	cg11267630	chr17	48734165	48734166	hsa-mir-3185	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD	All_Hypermethylated
chr5_133424100_133424101	cg11279294	chr5	133424100	133424101	hsa-mir-1289-2	2	TCGA-BRCA;TCGA-PRAD	All_Hypomethylated
chr6_33898332_33898333	cg11314787	chr6	33898332	33898333	hsa-mir-7159	6	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr1_3266172_3266173	cg11325950	chr1	3266172	3266173	hsa-mir-4251	6	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD	All_Hypomethylated
chr5_88683825_88683826	cg11325970	chr5	88683825	88683826	hsa-mir-9-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr7_157554681_157554682	cg11326510	chr7	157554681	157554682	hsa-mir-153-2	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr5_88673512_88673513	cg11339341	chr5	88673512	88673513	hsa-mir-9-2	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD	All_Hypermethylated
chr13_20415210_20415211	cg11345143	chr13	20415210	20415211	hsa-mir-4499	3	TCGA-BRCA;TCGA-LUAD;TCGA-PRAD	All_Hypermethylated
