Coord	ProbeID	Chromosome	Start	End	miRNA	Num_Cancers	Cancers	Concordance
chr14_23419241_23419242	cg03918703	chr14	23419241	23419242	hsa-mir-208b	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr16_82632150_82632151	cg04029645	chr16	82632150	82632151	hsa-mir-8058	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr13_52826581_52826582	cg04134069	chr13	52826581	52826582	hsa-mir-759	11	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr20_26209692_26209693	cg04150495	chr20	26209692	26209693	hsa-mir-663a	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr8_9905753_9905754	cg04218812	chr8	9905753	9905754	hsa-mir-124-1	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr5_88672818_88672819	cg04261138	chr5	88672818	88672819	hsa-mir-9-2	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr1_98046073_98046074	cg04293733	chr1	98046073	98046074	hsa-mir-2682;hsa-mir-137	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_128201282_128201283	cg04460847	chr7	128201282	128201283	hsa-mir-129-1	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr1_3082632_3082633	cg04493316	chr1	3082632	3082633	hsa-mir-4251	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_77286020_77286021	cg04548336	chr17	77286020	77286021	hsa-mir-4316	11	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_79288719_79288720	cg04552766	chr8	79288719	79288720	hsa-mir-12123	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_64379173_64379174	cg04559779	chr8	64379173	64379174	hsa-mir-124-2	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr3_79766568_79766569	cg04562217	chr3	79766568	79766569	hsa-mir-3923	12	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr14_101066565_101066566	cg04563422	chr14	101066565	101066566	hsa-mir-369;hsa-mir-409;hsa-mir-410;hsa-mir-412;hsa-mir-541;hsa-mir-656	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48722383_48722384	cg04574034	chr17	48722383	48722384	hsa-mir-3185	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr17_48723312_48723313	cg04618333	chr17	48723312	48723313	hsa-mir-3185	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD	All_Hypermethylated
chr7_158585523_158585524	cg04799270	chr7	158585523	158585524	hsa-mir-595	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr5_88678619_88678620	cg04819775	chr5	88678619	88678620	hsa-mir-9-2	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_128206686_128206687	cg04840800	chr7	128206686	128206687	hsa-mir-129-1	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_136871030_136871031	cg04842426	chr7	136871030	136871031	hsa-mir-490	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr1_37318270_37318271	cg04851505	chr1	37318270	37318271	hsa-mir-4255	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr20_63177996_63177997	cg04927004	chr20	63177996	63177997	hsa-mir-124-3	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr17_48755269_48755270	cg04937144	chr17	48755269	48755270	hsa-mir-3185	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr3_170419845_170419846	cg05022688	chr3	170419845	170419846	hsa-mir-6828	13	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_2281720_2281721	cg05049448	chr7	2281720	2281721	hsa-mir-6836	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr17_77373857_77373858	cg05184938	chr17	77373857	77373858	hsa-mir-4316	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr6_33899544_33899545	cg05232857	chr6	33899544	33899545	hsa-mir-7159	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr19_45614547_45614548	cg05318454	chr19	45614547	45614548	hsa-mir-330	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ	All_Hypomethylated
chr1_3141587_3141588	cg05343184	chr1	3141587	3141588	hsa-mir-4251	13	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr19_2250902_2250903	cg05345154	chr19	2250902	2250903	hsa-mir-4321	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr11_43581370_43581371	cg05376374	chr11	43581370	43581371	hsa-mir-129-2	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr20_63171713_63171714	cg05378861	chr20	63171713	63171714	hsa-mir-124-3	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr11_45700758_45700759	cg05407714	chr11	45700758	45700759	hsa-mir-7154	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr8_64379146_64379147	cg05455720	chr8	64379146	64379147	hsa-mir-124-2	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr5_88689696_88689697	cg05496514	chr5	88689696	88689697	hsa-mir-9-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr14_101065469_101065470	cg05537796	chr14	101065469	101065470	hsa-mir-369;hsa-mir-409;hsa-mir-410;hsa-mir-412;hsa-mir-541;hsa-mir-656	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48724447_48724448	cg05557449	chr17	48724447	48724448	hsa-mir-3185	11	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr1_3232246_3232247	cg05628625	chr1	3232246	3232247	hsa-mir-4251	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_100882783_100882784	cg05899507	chr14	100882783	100882784	hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr19_53808361_53808362	cg05927401	chr19	53808361	53808362	hsa-mir-373	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr6_1388932_1388933	cg06005891	chr6	1388932	1388933	hsa-mir-6720	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr11_2134291_2134292	cg06029905	chr11	2134291	2134292	hsa-mir-483	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_12602836_12602837	cg06033579	chr1	12602836	12602837	hsa-mir-6730	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_3230341_3230342	cg06099439	chr1	3230341	3230342	hsa-mir-4251	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr13_52849805_52849806	cg06114087	chr13	52849805	52849806	hsa-mir-759	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr14_100880806_100880807	cg06165706	chr14	100880806	100880807	hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr1_3264968_3264969	cg06447122	chr1	3264968	3264969	hsa-mir-4251	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_158562311_158562312	cg06649856	chr7	158562311	158562312	hsa-mir-595	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr4_37244608_37244609	cg06651311	chr4	37244608	37244609	hsa-mir-4801	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr1_179744041_179744042	cg06656994	chr1	179744041	179744042	hsa-mir-12116	10	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ	All_Hypermethylated
chr8_133049947_133049948	cg06772221	chr8	133049947	133049948	hsa-mir-7848	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_148318542_148318543	cg06804778	chr1	148318542	148318543	hsa-mir-5087	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr4_37243573_37243574	cg06805348	chr4	37243573	37243574	hsa-mir-4801	10	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr5_93602526_93602527	cg06820621	chr5	93602526	93602527	hsa-mir-2277	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD	All_Hypermethylated
chr8_64374075_64374076	cg06829299	chr8	64374075	64374076	hsa-mir-124-2	15	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr5_88685065_88685066	cg06980387	chr5	88685065	88685066	hsa-mir-9-2	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr5_176629681_176629682	cg07003542	chr5	176629681	176629682	hsa-mir-4281	12	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr12_54019561_54019562	cg07080050	chr12	54019561	54019562	hsa-mir-615	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr6_32754727_32754728	cg07180883	chr6	32754727	32754728	hsa-mir-3135b	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_103141364_103141365	cg07222863	chr8	103141364	103141365	hsa-mir-3151	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr4_182163344_182163345	cg07244076	chr4	182163344	182163345	hsa-mir-1305	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48754885_48754886	cg07250162	chr17	48754885	48754886	hsa-mir-3185	10	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr22_46062903_46062904	cg07325001	chr22	46062903	46062904	hsa-mir-3619;hsa-let-7a-3;hsa-let-7b;hsa-mir-4763	10	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ	All_Hypermethylated
chr8_142153365_142153366	cg07359966	chr8	142153365	142153366	hsa-mir-4472-1	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48734130_48734131	cg07428136	chr17	48734130	48734131	hsa-mir-3185	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr11_43559625_43559626	cg07616094	chr11	43559625	43559626	hsa-mir-129-2;hsa-mir-670	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr22_49625228_49625229	cg07656641	chr22	49625228	49625229	hsa-mir-3667	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr12_53049273_53049274	cg07661899	chr12	53049273	53049274	hsa-mir-6757	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_136869135_136869136	cg07664198	chr7	136869135	136869136	hsa-mir-490	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr12_112867951_112867952	cg07668671	chr12	112867951	112867952	hsa-mir-1302-1	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr11_45681928_45681929	cg07713318	chr11	45681928	45681929	hsa-mir-7154	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_228464827_228464828	cg07726139	chr1	228464827	228464828	hsa-mir-4666a	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr8_64377927_64377928	cg07792478	chr8	64377927	64377928	hsa-mir-124-2	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_3243004_3243005	cg07832245	chr1	3243004	3243005	hsa-mir-4251	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr20_62563866_62563867	cg07915635	chr20	62563866	62563867	hsa-mir-1-1;hsa-mir-133a-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3231441_3231442	cg07956247	chr1	3231441	3231442	hsa-mir-4251	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr13_52846798_52846799	cg08136772	chr13	52846798	52846799	hsa-mir-759	15	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr4_9556456_9556457	cg08174890	chr4	9556456	9556457	hsa-mir-548i-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr14_23415335_23415336	cg08209104	chr14	23415335	23415336	hsa-mir-208b	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr8_98422976_98422977	cg08210975	chr8	98422976	98422977	hsa-mir-9903	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3179965_3179966	cg08247866	chr1	3179965	3179966	hsa-mir-4251	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_100845497_100845498	cg08294662	chr14	100845497	100845498	hsa-mir-770;hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ	All_Hypomethylated
chr7_136869108_136869109	cg08323651	chr7	136869108	136869109	hsa-mir-490	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
