Coord	DMR_idx	Chromosome	Start	End	miRNA	Num_Cancers	Cancers	Concordance
chr13_53419596_53420933	4044;436;1169;832;422;680;854;772;1717;1138;447;216;9765;6068;2424;2735	chr13	53419596	53420933	hsa-mir-759	17	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PCPG;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_2995506_2997742	4180;14011;1758;3010	chr1	2995506	2997742	hsa-mir-4251	4	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-UCEC	All_Hypomethylated
chr15_89147446_89149030	4303;3575;6636;2842;2457;4036;21794	chr15	89147446	89149030	hsa-mir-1179	7	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-HNSC;TCGA-LUAD;TCGA-PAAD;TCGA-READ	All_Hypermethylated
chr1_3207371_3207588	4357;5349;5985;5621;8661;19416;4824;8230;5886;1751;668;6946	chr1	3207371	3207588	hsa-mir-4251	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-PRAD;TCGA-READ;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr22_50008841_50010191	4420;9115;5531;1585;6666;10112;4994	chr22	50008841	50010191	hsa-mir-3667	7	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-SARC	All_Hypomethylated
chr1_3006466_3008033	4478;6697;11613;4796;12142;6770	chr1	3006466	3008033	hsa-mir-4251	6	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr22_38379218_38380487	4487;1522;1505	chr22	38379218	38380487	hsa-mir-4534	3	TCGA-BRCA;TCGA-CESC;TCGA-UCEC	All_Hypermethylated
chr8_2023251_2024679	4489;6217;3095;5552;1511;3243	chr8	2023251	2024679	hsa-mir-7160	6	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-LIHC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3077356_3081481	4634;4976;3721;1714;10603;13818;664	chr1	3077356	3081481	hsa-mir-4251	7	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_101507570_101513595	4637;660;75	chr14	101507570	101513595	hsa-mir-300;hsa-mir-1185-1;hsa-mir-1185-2;hsa-mir-381;hsa-mir-487b	3	TCGA-BRCA;TCGA-LIHC;TCGA-LUSC	All_Hypomethylated
chr5_100238384_100240223	4707;1868;2425;971;9460;4486;1564;7434;729;7069	chr5	100238384	100240223	hsa-mir-548p	10	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-PAAD;TCGA-READ;TCGA-STAD;TCGA-UCEC	All_Hypermethylated
chr22_22862144_22863293	4711;2795;3126;1333	chr22	22862144	22863293	hsa-mir-5571;hsa-mir-650	4	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-HNSC	All_Hypermethylated
chr15_23810652_23812334	4746;16125;3331;15152;3474;5901;19246	chr15	23810652	23812334	hsa-mir-4508	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr6_27106564_27107756	4758;2561;979;1562	chr6	27106564	27107756	hsa-mir-3143	4	TCGA-BRCA;TCGA-LUAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr14_103021097_103022105	4818;4317;15826	chr14	103021097	103022105	hsa-mir-4309	3	TCGA-BRCA;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr16_85931994_85932853	4884;3607;13618;11299;363;5899;5597;11433	chr16	85931994	85932853	hsa-mir-6774	8	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr1_170113838_170115351	4924;12649;6260;5448;4972;14698	chr1	170113838	170115351	hsa-mir-3119-1;hsa-mir-3119-2	6	TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-LIHC;TCGA-PRAD;TCGA-READ	All_Hypomethylated
chr8_41522721_41523968	5029;2892;4508;4023;3944;2651;3848;12438;1003	chr8	41522721	41523968	hsa-mir-486-1;hsa-mir-486-2	9	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-LIHC;TCGA-LUAD;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr11_74441988_74442873	5083;3998;4599;6944;3997;16389	chr11	74441988	74442873	hsa-mir-4696	6	TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-READ	All_Hypermethylated
chr1_3301446_3307215	5239;5849;4209;4647;8434;7786;6867	chr1	3301446	3307215	hsa-mir-4251	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LUSC;TCGA-PCPG;TCGA-PRAD	All_Hypomethylated
chr22_50007440_50007725	5272;3178	chr22	50007440	50007725	hsa-mir-3667	2	TCGA-BRCA;TCGA-SARC	All_Hypomethylated
chr1_147826191_147826902	5277;2387;3838;4823;27773	chr1	147826191	147826902	hsa-mir-5087	5	TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LUSC;TCGA-PAAD	All_Hypermethylated
chr8_143206414_143208101	5303;5826;5774;14381;5584;919;12886;9755;10770	chr8	143206414	143208101	hsa-mir-4472-1	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-READ	All_Hypomethylated
chr19_40871557_40871697	5316;24101;21832;18445;14830;16104;12165	chr19	40871557	40871697	hsa-mir-6796	7	TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-PRAD	All_Hypermethylated
chr11_1365011_1365753	5317;494;2797;3852;2075;1146;612;1143;3708;2098;403	chr11	1365011	1365753	hsa-mir-6744	11	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_2046752_2047010	5416;8384;5186	chr8	2046752	2047010	hsa-mir-7160	3	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC	All_Hypomethylated
chr22_49934445_49935379	5421;16237;1569;14253;12184	chr22	49934445	49935379	hsa-mir-3667	5	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr5_168195173_168196464	5500;6603;5656;1008;5257;4239;1535;1106;11897;1528;5046;1289;8995	chr5	168195173	168196464	hsa-mir-218-2	13	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr15_51385476_51387736	5507;8449;5565;13628	chr15	51385476	51387736	hsa-mir-4713;hsa-mir-7973-1	4	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-LUSC	All_Hypermethylated
chr20_57392572_57394097	5533;974;3501;7999;1433;686;3287;911;355;1460;2486;6251;1824;408;5401	chr20	57392572	57394097	hsa-mir-298	15	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr7_75596021_75596055	5597;1800;1432;974;8681;1442	chr7	75596021	75596055	hsa-mir-4651	6	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-KIRP;TCGA-PCPG;TCGA-UCEC	All_Hypermethylated
chr10_121138105_121138206	5621;2377	chr10	121138105	121138206	hsa-mir-4681	2	TCGA-BRCA;TCGA-SKCM	All_Hypermethylated
chr19_795310_795467	5719;4930;10135;12606	chr19	795310	795467	hsa-mir-3187	4	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC	All_Hypermethylated
chr1_3146905_3149830	5726;3197;6751;5549;4994;3159;5914;10344;8497;22867;7102	chr1	3146905	3149830	hsa-mir-4251	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_158348896_158349388	5897;9512;12868;9091;12188	chr7	158348896	158349388	hsa-mir-595	5	TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-UCEC	All_Hypomethylated
chr8_143249987_143250336	6041;6630;15388;7900;18066;10096;6981;2104;20916;9058;9629;3196;15145	chr8	143249987	143250336	hsa-mir-4472-1	13	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-READ;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr13_98959770_98960589	6077;8504;31767;3148	chr13	98959770	98960589	hsa-mir-3170	4	TCGA-BRCA;TCGA-CESC;TCGA-KIRC;TCGA-LUSC	All_Hypermethylated
chr16_83171155_83171992	6137;10493;21247;28447;22482;4674	chr16	83171155	83171992	hsa-mir-3182	6	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-KIRP;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr7_157402263_157403114	6153;543;14622;6386;8182;168;3837;3718;1252;2722	chr7	157402263	157403114	hsa-mir-153-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr1_228603645_228605010	6193;2493;12465;4768;18170	chr1	228603645	228605010	hsa-mir-4666a	5	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr19_46180314_46181546	6198;9789;18591;3320	chr19	46180314	46181546	hsa-mir-642a;hsa-mir-642b	4	TCGA-BRCA;TCGA-HNSC;TCGA-LUSC;TCGA-SKCM	All_Hypermethylated
chr22_50017428_50018876	6411;10733;7248;10447;9920;26449;12751	chr22	50017428	50018876	hsa-mir-3667	7	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3044741_3045166	6488;8167;11679;2267;6996;6494	chr1	3044741	3045166	hsa-mir-4251	6	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-PCPG;TCGA-UCEC	All_Hypomethylated
chr4_77506682_77507651	6577;1930	chr4	77506682	77507651	hsa-mir-4450;hsa-mir-548ah	2	TCGA-BRCA;TCGA-UCEC	All_Hypomethylated
chr1_2992414_2992640	6653;7279;11583;14122;6313;19898;10380;14994;7113	chr1	2992414	2992640	hsa-mir-4251	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_44150888_44151172	6704;7190;12285;8591;2317;9686;3113;7689;18974	chr7	44150888	44151172	hsa-mir-4649	9	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3114820_3115545	6775;7225;13214;3036;6422	chr1	3114820	3115545	hsa-mir-4251	5	TCGA-BLCA;TCGA-BRCA;TCGA-LUSC;TCGA-PCPG;TCGA-UCEC	All_Hypomethylated
chr8_80200954_80201028	6801;4420;9694;8521;12069;14659;15816;8877	chr8	80200954	80201028	hsa-mir-12123	8	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr8_143192949_143193131	6810;5241;18043;7407;2307;8629;17803;21387	chr8	143192949	143193131	hsa-mir-4472-1	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr1_3280682_3281321	6904;14183;10132;4355;6648;11814;15050;14492;20559	chr1	3280682	3281321	hsa-mir-4251	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr1_3001002_3001128	7022;15704;6849;18312;8410;12500;18551;10374	chr1	3001002	3001128	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr2_11681405_11682864	7246;10552;6307;14839;17581;23371;13590;9356;10850;21063	chr2	11681405	11682864	hsa-mir-4429	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PCPG;TCGA-PRAD;TCGA-READ	All_Hypomethylated
chr1_3110815_3111849	7276;9216;11065;18914;9455;9153;11166;17852;11405	chr1	3110815	3111849	hsa-mir-4251	9	TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUSC;TCGA-PCPG;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr5_87963342_87963592	7381;25068;12699;13403;13749;2014	chr5	87963342	87963592	hsa-mir-9-2	6	TCGA-BLCA;TCGA-BRCA;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-SKCM	All_Hypermethylated
chr22_46457384_46459327	7400;1430;2197	chr22	46457384	46459327	hsa-mir-3619;hsa-let-7a-3;hsa-let-7b;hsa-mir-4763	3	TCGA-BRCA;TCGA-KIRC;TCGA-LUAD	All_Hypermethylated
chr1_2990490_2990678	7639;5014;2093;3222;3819;14306;12057;6249;13303	chr1	2990490	2990678	hsa-mir-4251	9	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr1_3027471_3029070	7661;15041;9463;1171;14824;4142;15947;6867	chr1	3027471	3029070	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_143210309_143210985	7746;4419;12944;16098;3508;15547;10469;26504;6926;11703	chr8	143210309	143210985	hsa-mir-4472-1	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-READ;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr1_3120245_3121727	7793;9607	chr1	3120245	3121727	hsa-mir-4251	2	TCGA-BRCA;TCGA-CESC	All_Hypomethylated
chr7_157394337_157394970	7864;1291;488;5663;8015;1939;5558	chr7	157394337	157394970	hsa-mir-153-2	7	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-LUSC;TCGA-SARC;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr1_24239820_24240069	7988;7999;14337;7361;13150;11992	chr1	24239820	24240069	hsa-mir-378f	6	TCGA-BRCA;TCGA-CESC;TCGA-KIRP;TCGA-LIHC;TCGA-PAAD;TCGA-UCEC	All_Hypomethylated
chr8_143200284_143201610	8030;2549;2926;1474;3140;766;2647;5583;7847;1455;3761;2919;7603;828;8057;14762	chr8	143200284	143201610	hsa-mir-4472-1	16	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PCPG;TCGA-READ;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr7_18125881_18127468	8128;8278;1460;11084;7740	chr7	18125881	18127468	hsa-mir-1302-6	5	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-LIHC;TCGA-PRAD	All_Hypermethylated
chr2_79738639_79740322	8141;14237;1467;1357	chr2	79738639	79740322	hsa-mir-4264;hsa-mir-8080	4	TCGA-BRCA;TCGA-COAD;TCGA-KIRC;TCGA-PAAD	All_Hypermethylated
chr14_101539195_101539455	8205;18538;24339;16445;11272;6866;26822	chr14	101539195	101539455	hsa-mir-369;hsa-mir-409;hsa-mir-410;hsa-mir-412;hsa-mir-541;hsa-mir-656	7	TCGA-BRCA;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr20_61165941_61166085	8430;2176;7452;5691;1242;2467;2538;1479;6850;23143;17457;2447;3084;3252	chr20	61165941	61166085	hsa-mir-1-1;hsa-mir-133a-2	14	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr22_50028390_50028456	8472;6854;4331;15501;2212;15072;4780;5510;3363;4507;10210;5838;4854	chr22	50028390	50028456	hsa-mir-3667	13	TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-PRAD;TCGA-READ;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr5_180466679_180467519	8473;1942;1447;5296;4464	chr5	180466679	180467519	hsa-mir-8089	5	TCGA-BRCA;TCGA-GBM;TCGA-LIHC;TCGA-PCPG;TCGA-SARC	All_Hypomethylated
chr8_143202655_143203654	8524;4267;4142;6157;1655;6167;1162;8948;9314	chr8	143202655	143203654	hsa-mir-4472-1	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr1_3094566_3094859	8621;15580;10906;6952;14426;10492;22496;28042;10875	chr1	3094566	3094859	hsa-mir-4251	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LUSC;TCGA-PCPG;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3246855_3248373	8699;15926;14214;9845;23906;26378;9206;14787	chr1	3246855	3248373	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-UCEC	All_Hypomethylated
chr21_26934197_26934885	8715;7750	chr21	26934197	26934885	hsa-mir-155	2	TCGA-BRCA;TCGA-LIHC	All_Hypermethylated
chr12_113013215_113013707	8779;6169;5951;3419;1091	chr12	113013215	113013707	hsa-mir-1302-1	5	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-LUAD;TCGA-LUSC	All_Hypermethylated
chr1_3213668_3213790	9014;20625;29407	chr1	3213668	3213790	hsa-mir-4251	3	TCGA-BRCA;TCGA-LIHC;TCGA-LUSC	All_Hypomethylated
chr14_23888370_23888756	9071;2178;5232;3403;3162;1514;3810;6558;8858;7507;7874;16207	chr14	23888370	23888756	hsa-mir-208b	12	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr1_205391796_205392241	9138;1374;14150	chr1	205391796	205392241	hsa-mir-135b	3	TCGA-BRCA;TCGA-LIHC;TCGA-PRAD	All_Hypomethylated
chr9_18473902_18474243	9139;27973;6738;6836;4986;9915;19272;16271;23224	chr9	18473902	18474243	hsa-mir-3152	9	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr8_2003810_2004050	9277;10524;3355	chr8	2003810	2004050	hsa-mir-7160	3	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC	All_Hypomethylated
chr1_228610437_228611269	9620;28587;7604;9857;26991;15452;12323	chr1	228610437	228611269	hsa-mir-4666a	7	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_2044114_2044148	9681;14205;12190;30104	chr8	2044114	2044148	hsa-mir-7160	4	TCGA-BLCA;TCGA-BRCA;TCGA-LUAD;TCGA-READ	All_Hypomethylated
chr19_45150513_45150725	9682;4158;1227;1135;1459;2874	chr19	45150513	45150725	hsa-mir-4531	6	TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-SARC;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr7_157396482_157396644	9701;3199;4964;6979;1022;2321;9496;8458;1160;7162	chr7	157396482	157396644	hsa-mir-153-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-SARC;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr7_157357803_157357887	9839;9451;12289;9469;4736;6688;1256;2639;11145;6740;8521;5041;13017	chr7	157357803	157357887	hsa-mir-153-2	13	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr17_41521158_41522193	10096;1154	chr17	41521158	41522193	hsa-mir-2117	2	TCGA-BRCA;TCGA-CESC	All_Hypomethylated
chr19_54173727_54173935	10348;19264;11347;3334;9041;9227;24102;14563;21513;2611;8648	chr19	54173727	54173935	hsa-mir-1283-1;hsa-mir-1323;hsa-mir-498;hsa-mir-512-1;hsa-mir-512-2;hsa-mir-515-1;hsa-mir-515-2;hsa-mir-519c;hsa-mir-519e;hsa-mir-520a;hsa-mir-520e;hsa-mir-520f;hsa-mir-519b;hsa-mir-526b	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-GBM;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr1_37783871_37784177	10568;20058;4079;10208;7197;13254;11636	chr1	37783871	37784177	hsa-mir-4255	7	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-HNSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr16_82671333_82671520	10699;5034;7396;12801;2379;15177;14616;3770;4998;23117;9862;6624	chr16	82671333	82671520	hsa-mir-8058	12	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr15_79501491_79502137	10976;912;8410;3531;10248	chr15	79501491	79502137	hsa-mir-184	5	TCGA-BRCA;TCGA-PCPG;TCGA-PRAD;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr16_85952179_85952285	11618;25096;9749;16120	chr16	85952179	85952285	hsa-mir-6774	4	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LUSC	All_Hypomethylated
chr7_157373930_157374903	11720;4370;12824;6029;3080;11012;3969;9787;10547;24173;3230;4564	chr7	157373930	157374903	hsa-mir-153-2	12	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr2_238446065_238447184	11834;8002;17184;14554	chr2	238446065	238447184	hsa-mir-6811	4	TCGA-BRCA;TCGA-HNSC;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr19_45912637_45912979	11889;7174	chr19	45912637	45912979	hsa-mir-6088	2	TCGA-BRCA;TCGA-UCEC	All_Hypermethylated
chr17_46827113_46827513	12008;21817;3454;4495;15547;3684;10402;3509	chr17	46827113	46827513	hsa-mir-3185	8	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr7_37024552_37026993	12238;3775;4492;234;2463;13177	chr7	37024552	37026993	hsa-mir-1200	6	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-PCPG;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_128962092_128962723	12428;3759;9409	chr8	128962092	128962723	hsa-mir-1205;hsa-mir-1206;hsa-mir-1207;hsa-mir-1208	3	TCGA-BRCA;TCGA-GBM;TCGA-KIRC	All_Hypomethylated
chr1_45079966_45080600	12653;17264;10599;10931;20293;7927	chr1	45079966	45080600	hsa-mir-5584	6	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-HNSC;TCGA-LIHC;TCGA-READ	All_Hypomethylated
chr1_3003239_3003690	12666;12991;17586;12562	chr1	3003239	3003690	hsa-mir-4251	4	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-UCEC	All_Hypomethylated
chr8_10892734_10892823	12740;12488;18790;19913	chr8	10892734	10892823	hsa-mir-598	4	TCGA-BRCA;TCGA-COAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr1_179716171_179716731	13208;5169;9136;4264;13556;4394;7098;5694;13589;6872;6937;9756	chr1	179716171	179716731	hsa-mir-12116	12	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-PCPG;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_101296297_101297249	13309;9866;24099;26773	chr14	101296297	101297249	hsa-mir-770;hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	4	TCGA-BRCA;TCGA-CESC;TCGA-HNSC;TCGA-LIHC	All_Hypomethylated
chr5_6775909_6775922	13366;23268;7576;4809	chr5	6775909	6775922	hsa-mir-4278	4	TCGA-BLCA;TCGA-BRCA;TCGA-LUAD;TCGA-LUSC	All_Hypermethylated
